;Mg;Al;Sc;Ti;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;Zr;Nb;Mo;Pd;Hf;Ta
Mg;-131493.9;-145436.9;-316558.3589;-345953.1;-377286.5;-410612;-445982.8;-483449.9;-523063;-564869.3;-608910.2918;-655214;-1246961.8;-1319564.7;-1394750.768;-1722142.2;-5020659.7;-5194025.3
Al;-145436.9;-159379.88;-330512.1189;-359909.7;-391246.4;-424575.4;-459949.1;-497417;-537027.4;-578825.3;-622855.239;-669153;-1260915;-1333522.8;-1408713.097;-1736089.72;-5034614.2;-5207983.7
Sc;-316558.3589;-330512.1189;-501617.6043;-531015.5578;-562353.6038;-595683.9616;-631058.7317;-668528.0539;-708140.1335;-749940.2798;-793977.0627;-840283.5363;-1432023.154;-1504632.07;-1579824.084;-1907208.16;-5205721.597;-5379092.12
Ti;-345953.1;-359909.7;-531015.5578;-560421.1;-591764.2;-625097.6;-660473.8;-697940.2;-737542.3;-779338.3;-823372.8386;-869681;-1461425.9;-1534040.5;-1609236.001;-1936599.826;-5235125.7;-5408502.9
V;-377286.5;-391246.4;-562353.6038;-591764.2;-623110.6;-656445.6;-691818.5;-729275.3;-768876.3;-810672.3;-854708.3113;-901014.9;-1492766.4;-1565384.6;-1640581.326;-1967929.498;-5266468;-5439848.9
Cr;-410612;-424575.4;-595683.9616;-625097.6;-656445.6;-689776.6;-725142.9;-762598.9;-802200.6;-843996.9;-888033.3838;-934340.5;-1526098.3;-1598717.9;-1673910.122;-2001252.011;-5299801.2;-5473183
Mn;-445982.8;-459949.1;-631058.7317;-660473.8;-691818.5;-725142.9;-760507.5;-797964.6;-837566.7;-879363.9;-923401.179;-969708.7;-1561473.5;-1634089.8;-1709275.295;-2036617.486;-5335175.3;-5508554.5
Fe;-483449.9;-497417;-668528.0539;-697940.2;-729275.3;-762598.9;-797964.6;-835423.3;-875026.4;-916825.2;-960862.9679;-1007172.6;-1598939.9;-1671547.9;-1746732.485;-2074079.565;-5372642.1;-5546012
Co;-523063;-537027.4;-708140.1335;-737542.3;-768876.3;-802200.6;-837566.7;-875026.4;-914630;-956430.2;-1000469.863;-1046783;-1638545;-1711151.3;-1786335.995;-2113686.506;-5412246.7;-5585615.2
Ni;-564869.3;-578825.3;-749940.2798;-779338.3;-810672.3;-843996.9;-879363.9;-916825.2;-956430.2;-998231.4;-1042274.071;-1088586.4;-1680343.3;-1752948.9;-1828133.966;-2155490.237;-5454044.2;-5627411.5
Cu;-608910.2918;-622855.239;-793977.0627;-823372.8386;-854708.3113;-888033.3838;-923401.179;-960862.9679;-1000469.863;-1042274.071;-1086317.926;-1132625.707;-1724379.5;-1796986.034;-1872170.994;-2199537.469;-5498078.821;-5671447.386
Zn;-655214;-669153;-840283.5363;-869681;-901014.9;-934340.5;-969708.7;-1007172.6;-1046783;-1088586.4;-1132625.707;-1178926.2;-1770687.8;-1843292;-1918477.697;-2245852.603;-5544386.1;-5717751.5
Zr;-1246961.8;-1260915;-1432023.154;-1461425.9;-1492766.4;-1526098.3;-1561473.5;-1598939.9;-1638545;-1680343.3;-1724379.5;-1770687.8;-2362431.4;-2435044.2;-2510238.446;-2837607.211;-6136130.7;-6309505.1
Nb;-1319564.7;-1333522.8;-1504632.07;-1534040.5;-1565384.6;-1598717.9;-1634089.8;-1671547.9;-1711151.3;-1752948.9;-1796986.034;-1843292;-2435044.2;-2507661.1;-2582856.78;-2910207.564;-6208744.5;-6382124
Mo;-1394750.768;-1408713.097;-1579824.084;-1609236.001;-1640581.326;-1673910.122;-1709275.295;-1746732.485;-1786335.995;-1828133.966;-1872170.994;-1918477.697;-2510238.446;-2582856.78;-2658046.515;-2985388.774;-6283939.776;-6457321.352
Pd;-1722142.2;-1736089.72;-1907208.16;-1936599.826;-1967929.498;-2001252.011;-2036617.486;-2074079.565;-2113686.506;-2155490.237;-2199537.469;-2245852.603;-2837607.211;-2910207.564;-2985388.774;-3312750.04;-6611307.82;-6784669.081
Hf;-5020659.7;-5034614.2;-5205721.597;-5235125.7;-5266468;-5299801.2;-5335175.3;-5372642.1;-5412246.7;-5454044.2;-5498078.821;-5544386.1;-6136130.7;-6208744.5;-6283939.776;-6611307.82;-9909830;-10083205.7
Ta;-5194025.3;-5207983.7;-5379092.12;-5408502.9;-5439848.9;-5473183;-5508554.5;-5546012;-5585615.2;-5627411.5;-5671447.386;-5717751.5;-6309505.1;-6382124;-6457321.352;-6784669.081;-10083205.7;-10256586.5
