;Mg;Al;Sc;Ti;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;Zr;Nb;Mo;Pd;Hf;Ta
Mg;-87663;-96960;-211039;-230634.7;-251526.9;-273744.5;-297323.9;-322301.4;-348711.1;-376583.6;-405942.237;-436810.3;-831307.6;-879712.7;-929838.2;-1148099.809;-3347105.5;-3462685.7
Al;-96959.5;-106254.8;-220346;-239945.672;-260837.5383;-283054.5605;-306634.1663;-331612.0439;-358020.8956;-385887.9996;-415238.787;-446103.4086;-840617.223;-889023.6015;-939146.5;-1157397.19;-3356416.014;-3471997.645
Sc;-211039;-220346;-334413;-354013;-374905;-397126;-420707;-445687;-472096;-499965;-529320.2669;-560192;-954684;-1003091;-1053217.3;-1271476.901;-3470483;-3586065
Ti;-230634.7;-239945.672;-354013;-373615;-394508.8;-416729.4;-440311.7;-465290.4;-491697.9;-519564.3;-548917.9505;-579789.5;-974285.1;-1022693.3;-1072820.8;-1291072.736;-3490085.2;-3605668.2
V;-251526.9;-260837.5383;-374905;-394508.8;-415403.3;-437623.9;-461206.3;-486184.3;-512591;-540455.6;-569808.3395;-600680.8;-995177.5;-1043586.6;-1093714.4;-1311960.611;-3510978.4;-3626562.9
Cr;-273744.5;-283054.5605;-397126;-416729.4;-437623.9;-459844.9;-483427;-508403.5;-534808.6;-562671;-592024.5417;-622896.4;-1017397.7;-1065807.2;-1115935.7;-1334174.302;-3533199.2;-3648783.8
Mn;-297323.9;-306634.1663;-420707;-440311.7;-461206.3;-483427;-507006.5;-531981;-558383.8;-586246.3;-615601.0553;-646472.8;-1040979.4;-1089390;-1139518.2;-1357749.474;-3556780.9;-3672365.8
Fe;-322301.4;-331612.0439;-445687;-465290.4;-486184.3;-508403.5;-531981;-556954.2;-583356;-611218.8;-640574.2953;-671448.3;-1065958.7;-1114369.1;-1164496.1;-1382722.637;-3581760;-3697344.9
Co;-348711.1;-358020.8956;-472096;-491697.9;-512591;-534808.6;-558383.8;-583356;-609757.9;-637622;-666979.813;-697856.3;-1092367.6;-1140777;-1190902.4;-1409126.785;-3608168.9;-3723752.6
Ni;-376583.6;-385887.9996;-499965;-519564.3;-540455.6;-562671;-586246.3;-611218.8;-637622;-665488.5;-694850.422;-725727.6;-1120235.8;-1168642.9;-1218765.6;-1436995.025;-3636036;-3751617.8
Cu;-405942.237;-415238.787;-529320;-548917.9505;-569808.3395;-592024.5417;-615601.0553;-640574.2953;-666979.813;-694850.422;-724212.6852;-755085.3887;-1149590.499;-1197996.457;-1248119.6;-1466359.981;-3665389.743;-3780970.211
Zn;-436810.3;-446103.4086;-560192;-579789.5;-600680.8;-622896.4;-646472.8;-671448.3;-697856.3;-725727.6;-755085.3887;-785952.1;-1180461.8;-1228867.6;-1278989.2;-1497238.716;-3696259.9;-3811840.4
Zr;-831307.6;-840617.223;-954684;-974285.1;-995177.5;-1017397.7;-1040979.4;-1065958.7;-1092367.6;-1120235.8;-1149590.499;-1180461.8;-1574955.1;-1623361.7;-1673489.3;-1891744.967;-4090755;-4206336.2
Nb;-879712.7;-889023.6015;-1003091;-1022693.3;-1043586.6;-1065807.2;-1089390;-1114369.1;-1140777;-1168642.9;-1197996.457;-1228867.6;-1623361.7;-1671769.0;-1721896.4;-1940147.808;-4139162.4;-4254744.8
Mo;-929838.2;-939146.5;-1053217.3;-1072820.8;-1093714.4;-1115935.7;-1139518.2;-1164496.1;-1190902.4;-1218765.6;-1248119.6;-1278989.2;-1673489.3;-1721896.4;-1772024.5;-1990267.677;-4189290.3;-4304872.7
Pd;-1148099.809;-1157397.19;-1271476.901;-1291072.736;-1311960.611;-1334174.302;-1357749.474;-1382722.637;-1409126.785;-1436995.025;-1466359.981;-1497238.716;-1891744.967;-1940147.808;-1990267.677;-2208501.5;-4407544.802;-4523122.076
Hf;-3347105.5;-3356416.014;-3470483;-3490085.2;-3510978.4;-3533199.2;-3556780.9;-3581760;-3608168.9;-3636036;-3665389.743;-3696259.9;-4090755;-4139162.4;-4189290.3;-4407544.802;-6606555.1;-6722137.1
Ta;-3462685.7;-3471997.645;-3586065;-3605668.2;-3626562.9;-3648783.8;-3672365.8;-3697344.9;-3723752.6;-3751617.8;-3780970.211;-3811840.4;-4206336.2;-4254744.8;-4304872.7;-4523122.076;-6722137.1;-6837720.5
